sku,mes,demanda,demanda_limpia,forecast,forecast_up,tipo_mes,metodo_forecast,dpa_movil
AC-AVC-2,2023-06,19,19,0,,histórico,,
AC-AVC-2,2023-07,32,26,0,,histórico,,
AC-AVC-2,2023-08,24,24,0,,histórico,,
AC-AVC-2,2023-09,17,17,0,,histórico,,
AC-AVC-2,2023-10,6,6,0,,histórico,,
AC-AVC-2,2023-11,17,17,0,,histórico,,
AC-AVC-2,2023-12,20,20,0,,histórico,,
AC-AVC-2,2024-01,22,22,0,,histórico,,
AC-AVC-2,2024-02,22,24,0,,histórico,,
AC-AVC-2,2024-03,10,19,0,,histórico,,
AC-AVC-2,2024-04,20,28,0,,histórico,,
AC-AVC-2,2024-05,28,27,0,,histórico,,
AC-AVC-2,2024-06,20,20,0,,histórico,,
AC-AVC-2,2024-07,35,31,0,,histórico,,
AC-AVC-2,2024-08,5,5,0,,histórico,,
AC-AVC-2,2024-09,22,22,0,,histórico,,
AC-AVC-2,2024-10,17,17,0,,histórico,,
AC-AVC-2,2024-11,19,19,0,,histórico,,
AC-AVC-2,2024-12,16,16,0,,histórico,,
AC-AVC-2,2025-01,19,23,0,,histórico,,
AC-AVC-2,2025-02,14,21,0,,histórico,,
AC-AVC-2,2025-03,26,34,0,,histórico,,
AC-AVC-2,2023-11,17,17,0,,backtest,holt_linear,
AC-AVC-2,2023-12,20,20,0,,backtest,holt_linear,
AC-AVC-2,2024-01,22,22,28,,backtest,holt_linear,0.4746
AC-AVC-2,2024-02,22,24,10,,backtest,holt_linear,0.5758
AC-AVC-2,2024-03,10,19,16,,backtest,holt_linear,0.8308
AC-AVC-2,2024-04,20,28,10,,backtest,holt_linear,0.507
AC-AVC-2,2024-05,28,27,14,,backtest,holt_linear,0.5405
AC-AVC-2,2024-06,20,20,22,,backtest,holt_linear,0.6133
AC-AVC-2,2024-07,35,31,25,,backtest,holt_linear,0.7821
AC-AVC-2,2024-08,5,5,19,,backtest,holt_linear,0.8214
AC-AVC-2,2024-09,22,22,22,,backtest,holt_linear,0.8621
AC-AVC-2,2024-10,17,17,24,,backtest,holt_linear,0.5227
AC-AVC-2,2024-11,19,19,24,,backtest,holt_linear,0.7931
AC-AVC-2,2024-12,16,16,26,,backtest,holt_linear,0.5769
AC-AVC-2,2025-01,19,23,21,,backtest,holt_linear,0.7759
AC-AVC-2,2025-02,14,21,21,,backtest,holt_linear,0.8667
AC-AVC-2,2025-03,26,34,20,,backtest,holt_linear,0.7949
AC-AVC-2,2025-04,0,0,23,29,proyección,holt_linear,
AC-AVC-2,2025-05,0,0,23,29,proyección,holt_linear,
AC-AVC-2,2025-06,0,0,23,29,proyección,holt_linear,
AC-AVC-2,2025-07,0,0,23,29,proyección,holt_linear,
AC-AVC-2,2025-08,0,0,23,29,proyección,holt_linear,
AC-AVC-2,2025-09,0,0,23,29,proyección,holt_linear,
AC-AVC-3,2023-06,21,21,0,,histórico,,
AC-AVC-3,2023-07,36,34,0,,histórico,,
AC-AVC-3,2023-08,13,13,0,,histórico,,
AC-AVC-3,2023-09,15,15,0,,histórico,,
AC-AVC-3,2023-10,9,9,0,,histórico,,
AC-AVC-3,2023-11,14,14,0,,histórico,,
AC-AVC-3,2023-12,17,17,0,,histórico,,
AC-AVC-3,2024-01,19,19,0,,histórico,,
AC-AVC-3,2024-02,31,31,0,,histórico,,
AC-AVC-3,2024-03,0,20,0,,histórico,,
AC-AVC-3,2024-04,20,33,0,,histórico,,
AC-AVC-3,2024-05,24,22,0,,histórico,,
AC-AVC-3,2024-06,26,32,0,,histórico,,
AC-AVC-3,2024-07,35,39,0,,histórico,,
AC-AVC-3,2024-08,2,31,0,,histórico,,
AC-AVC-3,2024-09,22,22,0,,histórico,,
AC-AVC-3,2024-10,19,19,0,,histórico,,
AC-AVC-3,2024-11,14,14,0,,histórico,,
AC-AVC-3,2024-12,24,19,0,,histórico,,
AC-AVC-3,2025-01,16,16,0,,histórico,,
AC-AVC-3,2025-02,13,13,0,,histórico,,
AC-AVC-3,2025-03,16,16,0,,histórico,,
AC-AVC-3,2023-11,14,14,21,,backtest,promedio_movil,
AC-AVC-3,2023-12,17,17,28,,backtest,promedio_movil,
AC-AVC-3,2024-01,19,19,23,,backtest,promedio_movil,0.56
AC-AVC-3,2024-02,31,31,21,,backtest,promedio_movil,0.9254
AC-AVC-3,2024-03,0,20,18,,backtest,promedio_movil,0.8857
AC-AVC-3,2024-04,20,33,13,,backtest,promedio_movil,0.619
AC-AVC-3,2024-05,24,22,14,,backtest,promedio_movil,0.6
AC-AVC-3,2024-06,26,32,15,,backtest,promedio_movil,0.4828
AC-AVC-3,2024-07,35,39,20,,backtest,promedio_movil,0.5269
AC-AVC-3,2024-08,2,31,22,,backtest,promedio_movil,0.5588
AC-AVC-3,2024-09,22,22,26,,backtest,promedio_movil,0.7391
AC-AVC-3,2024-10,19,19,26,,backtest,promedio_movil,0.9722
AC-AVC-3,2024-11,14,14,27,,backtest,promedio_movil,0.5636
AC-AVC-3,2024-12,24,19,32,,backtest,promedio_movil,0.3654
AC-AVC-3,2025-01,16,16,31,,backtest,promedio_movil,0.1633
AC-AVC-3,2025-02,13,13,31,,backtest,promedio_movil,0.0417
AC-AVC-3,2025-03,16,16,28,,backtest,promedio_movil,0.0
AC-AVC-3,2025-04,0,0,16,18,proyección,promedio_movil,
AC-AVC-3,2025-05,0,0,16,18,proyección,promedio_movil,
AC-AVC-3,2025-06,0,0,16,18,proyección,promedio_movil,
AC-AVC-3,2025-07,0,0,16,18,proyección,promedio_movil,
AC-AVC-3,2025-08,0,0,16,18,proyección,promedio_movil,
AC-AVC-3,2025-09,0,0,16,18,proyección,promedio_movil,
AC-BRY-2,2023-06,0,0,0,,histórico,,
AC-BRY-2,2023-07,0,0,0,,histórico,,
AC-BRY-2,2023-08,0,0,0,,histórico,,
AC-BRY-2,2023-09,0,0,0,,histórico,,
AC-BRY-2,2023-10,0,0,0,,histórico,,
AC-BRY-2,2023-11,0,0,0,,histórico,,
AC-BRY-2,2023-12,0,0,0,,histórico,,
AC-BRY-2,2024-01,1,1,0,,histórico,,
AC-BRY-2,2024-02,32,32,0,,histórico,,
AC-BRY-2,2024-03,22,21,0,,histórico,,
AC-BRY-2,2024-04,23,32,0,,histórico,,
AC-BRY-2,2024-05,1,24,0,,histórico,,
AC-BRY-2,2024-06,2,24,0,,histórico,,
AC-BRY-2,2024-07,27,33,0,,histórico,,
AC-BRY-2,2024-08,22,22,0,,histórico,,
AC-BRY-2,2024-09,18,18,0,,histórico,,
AC-BRY-2,2024-10,14,14,0,,histórico,,
AC-BRY-2,2024-11,30,29,0,,histórico,,
AC-BRY-2,2024-12,23,23,0,,histórico,,
AC-BRY-2,2025-01,20,20,0,,histórico,,
AC-BRY-2,2025-02,16,16,0,,histórico,,
AC-BRY-2,2025-03,30,30,0,,histórico,,
AC-BRY-2,2024-06,2,24,1,,backtest,promedio_movil,
AC-BRY-2,2024-07,27,33,16,,backtest,promedio_movil,
AC-BRY-2,2024-08,22,22,18,,backtest,promedio_movil,0.443
