sku,descripcion,costo_fabricacion,precio_venta,categoria,margen
CR-SML-4,Correa Smiley L,3.0,14.0,CORREA,11.0
AR-STC-3,ARNÉS AJUSTABLE STICKERS M,4.0,13.0,ARNÉS AJUSTABLE,9.0
AT-SML-3,ARNÉS TRAIL SMILEY M,7.0,19.0,ARNÉS TRAIL,12.0
AT-SML-2,ARNÉS TRAIL SMILEY S,7.0,18.0,ARNÉS TRAIL,11.0
CR-STC-4,CORREA STICKERS L,3.0,11.0,CORREA,8.0
AT-TAT-4,ARNÉS TRAIL TATTOO L,8.0,22.0,ARNÉS TRAIL,14.0
ACV-BLU-3,CLASSIC HARNESS PVC BLUE PVC M,5.0,19.0,PVC ARNÉS CLÁSICO,14.0
AC-GMM-3,Dukier Bears Gummy Arnés Clásico M,2.0,14.0,ARNÉS CLÁSICO,12.0
AT-BRY-2,ARNÉS TRAIL BERRY LOVE S,7.0,23.0,ARNÉS TRAIL,16.0
CR-PRP-4,Correa Purple L,3.0,14.0,CORREA,11.0
CR-GMM-2,Dukier Bears Gummy Correa S,2.0,16.0,CORREA,14.0
CL-BRY-3,Dukier Berry Love Collar M,2.0,12.0,COLLAR PERRO,10.0
RC-RPW-7,CHUBASQUEROS FLOWER POWER XXXL,5.0,13.0,CHUBASQUERO,8.0
AT-BRY-3,ARNÉS TRAIL BERRY LOVE M,7.0,24.0,ARNÉS TRAIL,17.0
ACV-BLU-4,CLASSIC HARNESS PVC BLUE PVC L,5.0,19.0,PVC ARNÉS CLÁSICO,14.0
AT-AVC-4,ARNÉS TRAIL AVOCADO L,8.0,23.0,ARNÉS TRAIL,15.0
RC-RPW-1,CHUBASQUEROS FLOWER POWER XS,5.0,19.0,CHUBASQUERO,14.0
BH-RED-1,Body Red XS,2.0,11.0,ARNÉS BODY,9.0
ACV-GRN-4,CLASSIC HARNESS PVC GREEN PVC L,5.0,19.0,PVC ARNÉS CLÁSICO,14.0
PB-STC-2,PORTA BOLSAS STICKERS U,2.0,5.0,PORTA BOLSAS,3.0
PB-SML-2,Porta Bolsas Smiley U,2.0,5.0,PORTA BOLSAS,3.0
ACV-PNK-4,CLASSIC HARNESS PVC PINK PVC L,5.0,19.0,PVC ARNÉS CLÁSICO,14.0
CR-RED-4,Correa Red L,3.0,14.0,CORREA,11.0
PJ-BRY-4,Dukier Berry Love Pajarita L,1.0,5.0,PAJARITA,4.0
AC-CLF-2,ARNÉS CLÁSICO CALIFORNIA S,2.0,10.0,ARNÉS CLÁSICO,8.0
CR-AVC-4,CORREA AVOCADO L,3.0,15.0,CORREA,12.0
ACV-BEI-4,CLASSIC HARNESS PVC BEIGE PVC L,5.0,19.0,PVC ARNÉS CLÁSICO,14.0
ACV-COR-4,0,5.0,20.0,PVC ARNÉS CLÁSICO,15.0
BH-TRT-5,BODY HARNESS TURTLEXL,3.0,11.0,ARNÉS BODY,8.0
CG-MNT-0,Collar Gato Mint U,1.0,6.0,GATO,5.0
CR-BLU-2,Correa Blue S,2.0,14.0,CORREA,12.0
PB-TDY-2,PORTA BOLSAS TIE DYE,2.0,4.0,PORTA BOLSAS,2.0
PB-PLN-2,PORTA BOLSAS PLANTS,2.0,4.0,PORTA BOLSAS,2.0
ACV-PRP-4,0,5.0,20.0,PVC ARNÉS CLÁSICO,15.0
CL-UNC-4,Collar UNICORNS L,2.0,11.0,COLLAR PERRO,9.0
ACV-SGR-4,0,5.0,20.0,PVC ARNÉS CLÁSICO,15.0
CL-UNC-3,Collar UNICORNS M,2.0,10.0,COLLAR PERRO,8.0
ACV-YEL-4,0,5.0,20.0,PVC ARNÉS CLÁSICO,15.0
CRV-BLU-4,LEASH PVC BLUE PVC L,4.0,18.0,PVC CORREA,14.0
AC-BLU-4,Arnés clásico Blue L,3.0,12.0,ARNÉS CLÁSICO,9.0
CG-BEE-0,Dukier Beer Collar Gato U,1.0,5.0,GATO,4.0
AR-DGT-1,ARNÉS REVERSIBLE DOGTELLA XS,3.0,14.0,ARNÉS REVERSIBLE,11.0
CL-SWT-3,Collar SWEETS M,2.0,11.0,COLLAR PERRO,9.0
AR-MON-5,Arnés Reversible Monstera XL,5.0,18.0,ARNÉS REVERSIBLE,13.0
BH-YLL-1,Body Lime XS,2.0,13.0,ARNÉS BODY,11.0
AC-SWT-3,ARNÉS CLÁSICO SWEETS M,2.0,12.0,ARNÉS CLÁSICO,10.0
CG-TER-0,Collar GATO TERRAZO U,1.0,4.0,GATO,3.0
AC-MMD-4,Dukier Mermaid Arnés Clásico L,3.0,14.0,ARNÉS CLÁSICO,11.0
