sku,fecha,demanda
CL-DGT-1,2023-06-05,3
CL-DGT-2,2023-06-05,0
CL-AVC-2,2023-06-05,12
AR-AVC-2,2023-06-05,15
AR-AVC-3,2023-06-05,18
AC-DGT-3,2023-06-05,1
AC-DGT-4,2023-06-05,0
AC-AVC-2,2023-06-05,4
AC-AVC-3,2023-06-05,4
CR-DGT-2,2023-06-05,8
CR-DGT-4,2023-06-05,1
CR-AVC-2,2023-06-05,20
CR-AVC-4,2023-06-05,12
CL-CLF-3,2023-06-05,0
AR-CLF-1,2023-06-05,0
AR-CLF-2,2023-06-05,0
AR-CLF-3,2023-06-05,0
AC-CLF-2,2023-06-05,1
AC-CLF-3,2023-06-05,1
CR-CLF-2,2023-06-05,1
CR-CLF-4,2023-06-05,2
CL-TRT-2,2023-06-05,16
AR-TRT-2,2023-06-05,28
AR-TRT-3,2023-06-05,27
AC-TRT-2,2023-06-05,6
AC-TRT-3,2023-06-05,5
CR-TRT-2,2023-06-05,36
CR-TRT-4,2023-06-05,18
PB-TRT-2,2023-06-05,8
AR-TAT-3,2023-06-05,16
CL-TAT-2,2023-06-05,17
CL-TAT-3,2023-06-05,16
AC-TAT-2,2023-06-05,1
AC-TAT-3,2023-06-05,0
CR-TAT-2,2023-06-05,13
CR-TAT-4,2023-06-05,16
PB-AVC-2,2023-06-05,14
CG-PRC-0,2023-06-05,18
CG-TAT-0,2023-06-05,1
CG-TDY-0,2023-06-05,23
CG-PLN-0,2023-06-05,15
CG-TER-0,2023-06-05,19
CG-RCK-0,2023-06-05,19
CR-UNC-2,2023-06-05,1
PB-UNC-2,2023-06-05,6
AR-LPG-1,2023-06-05,1
AR-LPG-2,2023-06-05,0
AR-LPG-3,2023-06-05,1
AR-LPG-4,2023-06-05,1
CL-LPG-2,2023-06-05,0
AC-LPG-2,2023-06-05,2
AC-LPG-3,2023-06-05,0
CR-LPG-2,2023-06-05,1
CR-LPG-4,2023-06-05,1
PB-LPG-2,2023-06-05,3
CR-RED-2,2023-06-05,2
CR-RED-4,2023-06-05,1
CR-PRP-2,2023-06-05,2
CR-PRP-4,2023-06-05,2
CR-MNT-2,2023-06-05,1
CR-MNT-4,2023-06-05,2
CR-YLL-2,2023-06-05,2
AR-SML-1,2023-06-05,4
AR-SML-2,2023-06-05,7
AR-SML-3,2023-06-05,2
CL-SML-2,2023-06-05,5
CL-SML-3,2023-06-05,6
CL-SML-4,2023-06-05,0
AC-SML-2,2023-06-05,11
AC-SML-3,2023-06-05,4
CR-SML-2,2023-06-05,12
CR-SML-4,2023-06-05,12
PB-SML-2,2023-06-05,5
