sku,fecha,cantidad
A1,2025-02-01,0
A2,2025-02-01,0
A3,2025-02-01,0
A4,2025-02-01,0
A5,2025-02-01,0
A6,2025-02-01,0
A7,2025-02-01,0
A8,2025-02-01,0
A9,2025-02-01,0
A10,2025-02-01,0
A11,2025-02-01,0
A12,2025-02-01,0
A13,2025-02-01,0
A14,2025-02-01,0
A15,2025-02-01,0
A16,2025-02-01,0
A17,2025-02-01,0
A18,2025-02-01,0
A19,2025-02-01,0
A20,2025-02-01,0
A21,2025-02-01,0
A22,2025-02-01,0
A23,2025-02-01,0
A24,2025-02-01,0
A25,2025-02-01,0
A26,2025-02-01,0
A27,2025-02-01,0
A28,2025-02-01,0
A29,2025-02-01,0
A30,2025-02-01,0
A31,2025-02-01,0
A32,2025-02-01,0
A33,2025-02-01,0
A34,2025-02-01,0
A35,2025-02-01,0
A36,2025-02-01,0
A37,2025-02-01,0
A38,2025-02-01,0
A39,2025-02-01,0
A40,2025-02-01,0
A41,2025-02-01,0
A42,2025-02-01,0
A43,2025-02-01,0
A44,2025-02-01,0
A45,2025-02-01,0
A47,2025-02-01,0
A48,2025-02-01,0
A49,2025-02-01,0
A50,2025-02-01,0
A51,2025-02-01,0
A52,2025-02-01,0
A53,2025-02-01,0
A54,2025-02-01,0
A55,2025-02-01,0
A56,2025-02-01,0
A57,2025-02-01,0
A58,2025-02-01,0
A59,2025-02-01,0
A60,2025-02-01,0
A61,2025-02-01,0
A62,2025-02-01,0
A63,2025-02-01,0
A64,2025-02-01,0
A65,2025-02-01,0
A66,2025-02-01,0
A67,2025-02-01,0
A68,2025-02-01,0
A69,2025-02-01,0
A70,2025-02-01,0
A71,2025-02-01,0
A72,2025-02-01,0
A73,2025-02-01,0
A74,2025-02-01,0
A75,2025-02-01,0
A76,2025-02-01,0
A77,2025-02-01,0
A78,2025-02-01,0
A79,2025-02-01,0
A80,2025-02-01,0
A81,2025-02-01,0
A82,2025-02-01,0
A83,2025-02-01,0
A84,2025-02-01,0
A85,2025-02-01,0
A86,2025-02-01,0
A87,2025-02-01,0
A88,2025-02-01,0
A89,2025-02-01,0
A90,2025-02-01,0
A91,2025-02-01,0
A92,2025-02-01,0
A93,2025-02-01,0
A94,2025-02-01,0
A95,2025-02-01,0
A96,2025-02-01,0
A97,2025-02-01,0
A98,2025-02-01,0
A99,2025-02-01,0
A100,2025-02-01,0
A101,2025-02-01,0
A102,2025-02-01,0
A103,2025-02-01,0
A104,2025-02-01,0
A105,2025-02-01,0
A106,2025-02-01,0
A107,2025-02-01,0
A108,2025-02-01,0
A109,2025-02-01,0
A110,2025-02-01,0
A111,2025-02-01,0
A112,2025-02-01,0
A113,2025-02-01,0
A114,2025-02-01,0
A115,2025-02-01,0
A116,2025-02-01,0
A117,2025-02-01,0
A118,2025-02-01,0
A119,2025-02-01,0
A120,2025-02-01,0
A121,2025-02-01,0
A122,2025-02-01,0
A123,2025-02-01,0
A124,2025-02-01,0
A125,2025-02-01,0
A126,2025-02-01,0
A127,2025-02-01,0
A128,2025-02-01,0
A129,2025-02-01,0
A130,2025-02-01,0
A131,2025-02-01,0
A132,2025-02-01,0
A133,2025-02-01,0
A134,2025-02-01,0
A135,2025-02-01,0
A136,2025-02-01,0
A137,2025-02-01,0
A138,2025-02-01,0
A139,2025-02-01,0
A140,2025-02-01,0
A141,2025-02-01,0
A142,2025-02-01,0
A143,2025-02-01,0
A144,2025-02-01,0
A145,2025-02-01,0
A146,2025-02-01,0
A147,2025-02-01,0
A148,2025-02-01,0
A149,2025-02-01,0
A150,2025-02-01,0
A151,2025-02-01,0
A152,2025-02-01,0
A153,2025-02-01,0
A154,2025-02-01,0
A155,2025-02-01,0
A156,2025-02-01,0
A157,2025-02-01,0
A158,2025-02-01,0
A159,2025-02-01,0
A160,2025-02-01,0
A161,2025-02-01,0
A162,2025-02-01,0
A163,2025-02-01,0
A164,2025-02-01,0
A165,2025-02-01,0
A166,2025-02-01,0
A167,2025-02-01,0
A168,2025-02-01,0
A169,2025-02-01,0
A170,2025-02-01,0
A171,2025-02-01,0
A172,2025-02-01,0
A173,2025-02-01,0
A174,2025-02-01,0
A175,2025-02-01,0
A176,2025-02-01,0
A177,2025-02-01,0
A178,2025-02-01,0
A179,2025-02-01,0
A180,2025-02-01,0
A181,2025-02-01,0
A182,2025-02-01,0
A183,2025-02-01,0
A184,2025-02-01,0
A185,2025-02-01,0
A186,2025-02-01,0
