sku,descripcion,stock,fecha
A1,A1 descrip.,551,2024-12-01
A2,A1 descrip.,13041,2024-12-01
A3,A1 descrip.,0,2024-12-01
A4,A1 descrip.,22986,2024-12-01
A5,A1 descrip.,62634,2024-12-01
A6,A1 descrip.,0,2024-12-01
A7,A1 descrip.,28,2024-12-01
A8,A1 descrip.,14837,2024-12-01
A9,A1 descrip.,0,2024-12-01
A10,A1 descrip.,14886,2024-12-01
A11,A1 descrip.,9373,2024-12-01
A12,A1 descrip.,0,2024-12-01
A13,A1 descrip.,280,2024-12-01
A14,A1 descrip.,99,2024-12-01
A15,A1 descrip.,0,2024-12-01
A16,A1 descrip.,0,2024-12-01
A17,A1 descrip.,0,2024-12-01
A18,A1 descrip.,121,2024-12-01
A19,A1 descrip.,0,2024-12-01
A20,A1 descrip.,0,2024-12-01
A21,A1 descrip.,0,2024-12-01
A22,A1 descrip.,0,2024-12-01
A23,A1 descrip.,0,2024-12-01
A24,A1 descrip.,0,2024-12-01
A25,A1 descrip.,0,2024-12-01
A26,A1 descrip.,108,2024-12-01
A27,A1 descrip.,144,2024-12-01
A28,A1 descrip.,31462,2024-12-01
A29,A1 descrip.,34898,2024-12-01
A30,A1 descrip.,4800,2024-12-01
A31,A1 descrip.,384,2024-12-01
A32,A1 descrip.,1746,2024-12-01
A33,A1 descrip.,384,2024-12-01
A34,A1 descrip.,0,2024-12-01
A35,A1 descrip.,2274,2024-12-01
A36,A1 descrip.,857,2024-12-01
A37,A1 descrip.,4809,2024-12-01
A38,A1 descrip.,6228,2024-12-01
A39,A1 descrip.,0,2024-12-01
A40,A1 descrip.,0,2024-12-01
A41,A1 descrip.,0,2024-12-01
A42,A1 descrip.,46772,2024-12-01
A43,A1 descrip.,30971,2024-12-01
A44,A1 descrip.,1280,2024-12-01
A45,A1 descrip.,3120,2024-12-01
A47,A1 descrip.,30360,2024-12-01
A48,A1 descrip.,9520,2024-12-01
A49,A1 descrip.,12320,2024-12-01
A50,A1 descrip.,0,2024-12-01
A51,A1 descrip.,25560,2024-12-01
A52,A1 descrip.,15000,2024-12-01
A53,A1 descrip.,400,2024-12-01
A54,A1 descrip.,0,2024-12-01
A55,A1 descrip.,0,2024-12-01
A56,A1 descrip.,0,2024-12-01
A57,A1 descrip.,800,2024-12-01
A58,A1 descrip.,41000,2024-12-01
A59,A1 descrip.,86160,2024-12-01
A60,A1 descrip.,49752,2024-12-01
A61,A1 descrip.,0,2024-12-01
A62,A1 descrip.,0,2024-12-01
A63,A1 descrip.,0,2024-12-01
A64,A1 descrip.,1800,2024-12-01
A65,A1 descrip.,720,2024-12-01
A66,A1 descrip.,0,2024-12-01
A67,A1 descrip.,0,2024-12-01
A68,A1 descrip.,0,2024-12-01
A69,A1 descrip.,160,2024-12-01
A70,A1 descrip.,30160,2024-12-01
A71,A1 descrip.,52560,2024-12-01
A72,A1 descrip.,118160,2024-12-01
A73,A1 descrip.,1360,2024-12-01
A74,A1 descrip.,97840,2024-12-01
A75,A1 descrip.,0,2024-12-01
A76,A1 descrip.,0,2024-12-01
A77,A1 descrip.,0,2024-12-01
A78,A1 descrip.,0,2024-12-01
A79,A1 descrip.,0,2024-12-01
A80,A1 descrip.,0,2024-12-01
A81,A1 descrip.,5480,2024-12-01
A82,A1 descrip.,8,2024-12-01
A83,A1 descrip.,34880,2024-12-01
A84,A1 descrip.,21,2024-12-01
A85,A1 descrip.,14480,2024-12-01
A86,A1 descrip.,24,2024-12-01
A87,A1 descrip.,0,2024-12-01
A88,A1 descrip.,18234,2024-12-01
A89,A1 descrip.,50938,2024-12-01
A90,A1 descrip.,12528,2024-12-01
A91,A1 descrip.,6157,2024-12-01
A92,A1 descrip.,1488,2024-12-01
A93,A1 descrip.,45816,2024-12-01
A94,A1 descrip.,52874,2024-12-01
A95,A1 descrip.,91,2024-12-01
A96,A1 descrip.,225,2024-12-01
A97,A1 descrip.,0,2024-12-01
A98,A1 descrip.,173,2024-12-01
A99,A1 descrip.,90,2024-12-01
A100,A1 descrip.,0,2024-12-01
A101,A1 descrip.,0,2024-12-01
A102,A1 descrip.,47,2024-12-01
A103,A1 descrip.,94,2024-12-01
A104,A1 descrip.,48,2024-12-01
A105,A1 descrip.,153,2024-12-01
A106,A1 descrip.,0,2024-12-01
A107,A1 descrip.,0,2024-12-01
A108,A1 descrip.,0,2024-12-01
A109,A1 descrip.,88,2024-12-01
A110,A1 descrip.,64,2024-12-01
A111,A1 descrip.,0,2024-12-01
A112,A1 descrip.,0,2024-12-01
A113,A1 descrip.,0,2024-12-01
A114,A1 descrip.,0,2024-12-01
A115,A1 descrip.,0,2024-12-01
A116,A1 descrip.,0,2024-12-01
A117,A1 descrip.,187,2024-12-01
A118,A1 descrip.,0,2024-12-01
A119,A1 descrip.,603,2024-12-01
A120,A1 descrip.,0,2024-12-01
A121,A1 descrip.,3349,2024-12-01
A122,A1 descrip.,0,2024-12-01
A123,A1 descrip.,0,2024-12-01
A124,A1 descrip.,167,2024-12-01
