sku,stock,fecha
A1,531,2022-01-01
A1,236,2022-02-01
A1,216,2022-03-01
A1,0,2022-04-01
A1,59,2022-05-01
A1,4310,2022-06-01
A1,2322,2022-07-01
A1,1161,2022-08-01
A1,649,2022-09-01
A1,59,2022-10-01
A1,5707,2022-11-01
A1,5412,2022-12-01
A1,1574,2023-01-01
A1,177,2023-02-01
A1,2303,2023-03-01
A1,2283,2023-04-01
A1,1791,2023-05-01
A1,1594,2023-06-01
A1,118,2023-07-01
A1,0,2023-08-01
A1,0,2023-09-01
A1,0,2023-10-01
A1,0,2023-11-01
A1,3168,2023-12-01
A1,22416,2024-01-01
A1,23144,2024-02-01
A1,46543,2024-03-01
A1,64767,2024-04-01
A1,80531,2024-05-01
A1,80216,2024-06-01
A1,72304,2024-07-01
A1,57603,2024-08-01
A1,41131,2024-09-01
A1,14976,2024-10-01
A1,787,2024-11-01
A1,551,2024-12-01
A2,553,2022-01-01
A2,0,2022-02-01
A2,92,2022-03-01
A2,0,2022-04-01
A2,0,2022-05-01
A2,16658,2022-06-01
A2,5092,2022-07-01
A2,0,2022-08-01
A2,0,2022-09-01
A2,0,2022-10-01
A2,3341,2022-11-01
A2,7465,2022-12-01
A2,2650,2023-01-01
A2,2189,2023-02-01
A2,4677,2023-03-01
A2,2373,2023-04-01
A2,2120,2023-05-01
A2,783,2023-06-01
A2,691,2023-07-01
A2,7212,2023-08-01
A2,6751,2023-09-01
A2,6543,2023-10-01
A2,18132,2023-11-01
A2,20183,2023-12-01
A2,39122,2024-01-01
A2,38269,2024-02-01
A2,51379,2024-03-01
A2,58499,2024-04-01
A2,72760,2024-05-01
A2,83428,2024-06-01
A2,69051,2024-07-01
A2,56909,2024-08-01
A2,46886,2024-09-01
A2,43062,2024-10-01
A2,28155,2024-11-01
A2,13041,2024-12-01
A3,683,2022-01-01
A3,430,2022-02-01
A3,0,2022-03-01
A3,0,2022-04-01
A3,126,2022-05-01
A3,7205,2022-06-01
A3,6269,2022-07-01
A3,404,2022-08-01
A3,253,2022-09-01
A3,0,2022-10-01
A3,758,2022-11-01
A3,4626,2022-12-01
A3,4626,2023-01-01
A3,3135,2023-02-01
A3,2781,2023-03-01
A3,2705,2023-04-01
A3,1618,2023-05-01
A3,51,2023-06-01
A3,0,2023-07-01
A3,0,2023-08-01
A3,0,2023-09-01
A3,0,2023-10-01
A3,0,2023-11-01
A3,0,2023-12-01
A3,0,2024-01-01
A3,25,2024-02-01
A3,0,2024-03-01
A3,0,2024-04-01
A3,0,2024-05-01
A3,0,2024-06-01
A3,0,2024-07-01
A3,0,2024-08-01
A3,0,2024-09-01
A3,0,2024-10-01
A3,0,2024-11-01
A3,0,2024-12-01
A4,501354,2022-01-01
A4,354658,2022-02-01
A4,233288,2022-03-01
A4,574288,2022-04-01
A4,462634,2022-05-01
A4,363581,2022-06-01
A4,246365,2022-07-01
A4,182406,2022-08-01
A4,102080,2022-09-01
A4,43613,2022-10-01
A4,37752,2022-11-01
A4,21331,2022-12-01
A4,21296,2023-01-01
A4,62040,2023-02-01
A4,8466,2023-03-01
A4,70822,2023-04-01
A4,287179,2023-05-01
A4,388397,2023-06-01
A4,274507,2023-07-01
A4,76384,2023-08-01
A4,8554,2023-09-01
A4,11158,2023-10-01
A4,51938,2023-11-01
A4,140026,2023-12-01
A4,141821,2024-01-01
A4,48576,2024-02-01
A4,8554,2024-03-01
A4,327606,2024-04-01
A4,339205,2024-05-01
A4,351226,2024-06-01
A4,299587,2024-07-01
A4,190414,2024-08-01
A4,79904,2024-09-01
A4,14414,2024-10-01
A4,4770,2024-11-01
A4,22986,2024-12-01
A5,686957,2022-01-01
A5,628112,2022-02-01
A5,517438,2022-03-01
A5,751810,2022-04-01
A5,696103,2022-05-01
A5,640751,2022-06-01
A5,585518,2022-07-01
A5,528153,2022-08-01
A5,503141,2022-09-01
A5,281141,2022-10-01
A5,168069,2022-11-01
A5,77256,2022-12-01
A5,27469,2023-01-01
A5,16162,2023-02-01
A5,179998,2023-03-01
A5,87498,2023-04-01
A5,167802,2023-05-01
A5,261131,2023-06-01
A5,366418,2023-07-01
A5,246775,2023-08-01
A5,173604,2023-09-01
A5,109017,2023-10-01
A5,48692,2023-11-01
A5,201813,2023-12-01
A5,148977,2024-01-01
A5,145218,2024-02-01
A5,85870,2024-03-01
A5,378939,2024-04-01
A5,364198,2024-05-01
A5,361209,2024-06-01
A5,330573,2024-07-01
A5,246568,2024-08-01
A5,165198,2024-09-01
A5,17997,2024-10-01
A5,11840,2024-11-01
A5,62634,2024-12-01
A6,0,2022-01-01
A6,0,2022-02-01
A6,0,2022-03-01
A6,0,2022-04-01
A6,0,2022-05-01
A6,0,2022-06-01
A6,0,2022-07-01
A6,0,2022-08-01
A6,0,2022-09-01
A6,0,2022-10-01
A6,0,2022-11-01
A6,0,2022-12-01
A6,874,2023-01-01
A6,0,2023-02-01
A6,831,2023-03-01
A6,699,2023-04-01
A6,525,2023-05-01
A6,481,2023-06-01
A6,393,2023-07-01
A6,0,2023-08-01
A6,0,2023-09-01
A6,0,2023-10-01
A6,0,2023-11-01
A6,0,2023-12-01
A6,0,2024-01-01
A6,0,2024-02-01
A6,0,2024-03-01
A6,0,2024-04-01
A6,0,2024-05-01
A6,0,2024-06-01
A6,0,2024-07-01
A6,0,2024-08-01
A6,0,2024-09-01
A6,0,2024-10-01
A6,0,2024-11-01
A6,0,2024-12-01
A7,0,2022-01-01
A7,0,2022-02-01
A7,0,2022-03-01
A7,0,2022-04-01
A7,0,2022-05-01
A7,0,2022-06-01
A7,0,2022-07-01
A7,0,2022-08-01
A7,0,2022-09-01
A7,0,2022-10-01
A7,0,2022-11-01
A7,0,2022-12-01
A7,36,2023-01-01
A7,0,2023-02-01
A7,0,2023-03-01
A7,0,2023-04-01
A7,0,2023-05-01
A7,0,2023-06-01
A7,0,2023-07-01
A7,0,2023-08-01
A7,0,2023-09-01
A7,65,2023-10-01
A7,64,2023-11-01
A7,12,2023-12-01
A7,1,2024-01-01
A7,0,2024-02-01
A7,0,2024-03-01
A7,0,2024-04-01
A7,140,2024-05-01
A7,82,2024-06-01
A7,29,2024-07-01
A7,48,2024-08-01
A7,16,2024-09-01
A7,30,2024-10-01
A7,37,2024-11-01
A7,28,2024-12-01
A8,0,2022-01-01
A8,0,2022-02-01
A8,0,2022-03-01
A8,0,2022-04-01
A8,0,2022-05-01
A8,0,2022-06-01
A8,0,2022-07-01
A8,0,2022-08-01
A8,0,2022-09-01
A8,0,2022-10-01
A8,0,2022-11-01
A8,0,2022-12-01
A8,508,2023-01-01
A8,282,2023-02-01
A8,0,2023-03-01
A8,0,2023-04-01
A8,0,2023-05-01
A8,0,2023-06-01
A8,0,2023-07-01
A8,2821,2023-08-01
A8,1975,2023-09-01
A8,1467,2023-10-01
A8,1015,2023-11-01
A8,846,2023-12-01
A8,0,2024-01-01
A8,0,2024-02-01
A8,0,2024-03-01
A8,0,2024-04-01
A8,5021,2024-05-01
A8,15402,2024-06-01
A8,15289,2024-07-01
A8,25782,2024-08-01
A8,25331,2024-09-01
A8,24936,2024-10-01
A8,24541,2024-11-01
A8,14837,2024-12-01
A9,0,2022-01-01
A9,0,2022-02-01
A9,0,2022-03-01
A9,0,2022-04-01
A9,0,2022-05-01
A9,0,2022-06-01
A9,0,2022-07-01
A9,0,2022-08-01
A9,0,2022-09-01
A9,0,2022-10-01
A9,0,2022-11-01
A9,0,2022-12-01
A9,1194,2023-01-01
A9,880,2023-02-01
A9,0,2023-03-01
A9,628,2023-04-01
A9,377,2023-05-01
A9,0,2023-06-01
A9,0,2023-07-01
A9,0,2023-08-01
A9,0,2023-09-01
A9,0,2023-10-01
A9,0,2023-11-01
A9,0,2023-12-01
A9,0,2024-01-01
A9,0,2024-02-01
A9,0,2024-03-01
A9,0,2024-04-01
A9,0,2024-05-01
A9,0,2024-06-01
A9,0,2024-07-01
A9,0,2024-08-01
A9,0,2024-09-01
A9,0,2024-10-01
A9,0,2024-11-01
A9,0,2024-12-01
A10,0,2022-01-01
A10,0,2022-02-01
A10,0,2022-03-01
A10,0,2022-04-01
A10,0,2022-05-01
A10,0,2022-06-01
A10,0,2022-07-01
A10,0,2022-08-01
A10,0,2022-09-01
A10,0,2022-10-01
A10,0,2022-11-01
A10,0,2022-12-01
A10,0,2023-01-01
A10,0,2023-02-01
A10,1838,2023-03-01
A10,276,2023-04-01
A10,0,2023-05-01
A10,0,2023-06-01
A10,0,2023-07-01
A10,2757,2023-08-01
A10,2757,2023-09-01
A10,1746,2023-10-01
A10,459,2023-11-01
A10,92,2023-12-01
A10,0,2024-01-01
A10,0,2024-02-01
A10,0,2024-03-01
A10,0,2024-04-01
A10,5513,2024-05-01
A10,17183,2024-06-01
A10,16816,2024-07-01
A10,23891,2024-08-01
A10,21594,2024-09-01
A10,17826,2024-10-01
A10,16816,2024-11-01
A10,14886,2024-12-01
A11,0,2022-01-01
A11,0,2022-02-01
A11,0,2022-03-01
A11,0,2022-04-01
A11,0,2022-05-01
A11,0,2022-06-01
A11,0,2022-07-01
A11,0,2022-08-01
A11,0,2022-09-01
A11,0,2022-10-01
A11,0,2022-11-01
A11,0,2022-12-01
A11,1838,2023-01-01
A11,0,2023-02-01
A11,0,2023-03-01
A11,0,2023-04-01
A11,0,2023-05-01
A11,0,2023-06-01
A11,0,2023-07-01
A11,2757,2023-08-01
A11,2757,2023-09-01
A11,1562,2023-10-01
A11,1286,2023-11-01
A11,1103,2023-12-01
A11,0,2024-01-01
A11,0,2024-02-01
A11,0,2024-03-01
A11,0,2024-04-01
A11,2757,2024-05-01
A11,9281,2024-06-01
A11,0,2024-07-01
A11,15805,2024-08-01
A11,14702,2024-09-01
A11,12405,2024-10-01
A11,10935,2024-11-01
A11,9373,2024-12-01
A12,0,2022-01-01
A12,0,2022-02-01
A12,0,2022-03-01
A12,0,2022-04-01
A12,0,2022-05-01
A12,0,2022-06-01
A12,0,2022-07-01
A12,0,2022-08-01
A12,0,2022-09-01
A12,0,2022-10-01
A12,0,2022-11-01
A12,0,2022-12-01
A12,0,2023-01-01
A12,0,2023-02-01
A12,0,2023-03-01
A12,0,2023-04-01
A12,0,2023-05-01
A12,0,2023-06-01
A12,0,2023-07-01
A12,0,2023-08-01
A12,0,2023-09-01
A12,0,2023-10-01
A12,0,2023-11-01
A12,0,2023-12-01
A12,0,2024-01-01
A12,0,2024-02-01
A12,0,2024-03-01
A12,0,2024-04-01
A12,0,2024-05-01
A12,0,2024-06-01
A12,0,2024-07-01
A12,0,2024-08-01
A12,0,2024-09-01
A12,0,2024-10-01
A12,0,2024-11-01
A12,0,2024-12-01
A13,451,2022-01-01
A13,440,2022-02-01
A13,415,2022-03-01
A13,422,2022-04-01
A13,389,2022-05-01
A13,382,2022-06-01
A13,348,2022-07-01
A13,317,2022-08-01
A13,289,2022-09-01
A13,252,2022-10-01
A13,206,2022-11-01
A13,166,2022-12-01
A13,148,2023-01-01
A13,145,2023-02-01
A13,141,2023-03-01
A13,185,2023-04-01
A13,174,2023-05-01
A13,158,2023-06-01
A13,145,2023-07-01
A13,142,2023-08-01
A13,140,2023-09-01
A13,81,2023-10-01
A13,297,2023-11-01
A13,283,2023-12-01
A13,359,2024-01-01
